filename,folder_name,meta_counter,max,min,max-min,length
11,clc,2.0,469.64401804038175,-617.0260656461903,1086.670083686572,151.0
110,clc,0.0,382.343527890868,-677.3005212137964,1059.6440491046644,163.0
110,clc,1.0,394.20059057068534,-735.8950602250238,1130.0956507957092,159.0
110,clc,2.0,243.62506917307488,-735.8950602250238,979.5201293980988,160.0
111,clc,0.0,242.42028949820687,-490.4361545908518,732.8564440890586,172.0
111,clc,1.0,255.7999047330371,-559.8450630384289,815.6449677714661,181.0
111,clc,2.0,265.6348374871999,-559.8450630384289,825.4799005256289,159.0
112,clc,0.0,263.26271859010484,-495.4970491891457,758.7597677792505,168.0
112,clc,1.0,248.39714005549615,-525.2122870910729,773.609427146569,170.0
112,clc,2.0,210.33085591646702,-525.2122870910729,735.5431430075398,158.0
113,clc,0.0,367.4985691275338,-640.2443583319355,1007.7429274594693,169.0
113,clc,1.0,341.9687281144527,-640.2443583319355,982.2130864463884,155.0
114,clc,1.0,321.0056475560528,-617.804673812112,938.8103213681649,165.0
114,clc,2.0,219.0752235941077,-388.5736962868728,607.6489198809805,162.0
114,clc,3.0,291.09640448527,-318.54133479007544,609.6377392753454,75.0
115,clc,0.0,343.3707325369224,-598.4118290439219,941.7825615808442,160.0
115,clc,1.0,334.1143526072164,-598.4118290439219,932.5261816511384,161.0
116,clc,1.0,299.0124089224933,-568.6203649395852,867.6327738620786,164.0
116,clc,2.0,311.33452868845296,-568.6203649395852,879.9548936280381,165.0
117,clc,0.0,392.17992329931997,-685.4769919811171,1077.656915280437,158.0
117,clc,1.0,416.4041786538576,-705.0422614544033,1121.446440108261,159.0
117,clc,2.0,298.64240197768316,-705.0422614544033,1003.6846634320864,169.0
118,clc,0.0,430.9440900565663,-807.9212919253216,1238.8653819818878,168.0
118,clc,1.0,400.3910666610782,-807.9212919253216,1208.3123585863998,164.0
118,clc,2.0,274.1803383239122,-786.499388317759,1060.679726641671,168.0
119,clc,0.0,294.20294872441275,-622.0410670094404,916.2440157338533,161.0
119,clc,1.0,384.27730807176215,-622.0410670094404,1006.3183750812027,163.0
119,clc,2.0,376.466203954442,-602.6420469393432,979.1082508937852,158.0
12,clc,0.0,202.26870881101985,-311.2134646213338,513.4821734323536,143.0
12,clc,1.0,169.42199242523498,-316.4697817223117,485.8917741475467,146.0
12,clc,2.0,118.86455567077557,-316.4697817223117,435.3343373930873,157.0
120,clc,0.0,535.3625923507707,-776.45613532942,1311.8187276801907,141.0
120,clc,1.0,445.519342564966,-776.45613532942,1221.975477894386,149.0
120,clc,2.0,463.8138284094744,-712.6167566736513,1176.4305850831254,147.0
121,clc,0.0,380.6194549127279,-778.0582755251794,1158.6777304379073,171.0
121,clc,1.0,371.0036669101648,-778.0582755251794,1149.0619424353442,175.0
122,clc,0.0,345.17415524344216,-676.6609271641191,1021.8350824075612,162.0
122,clc,1.0,426.3400192789215,-703.2225254586464,1129.5625447375678,162.0
122,clc,2.0,336.316131422976,-703.2225254586464,1039.5386568816223,162.0
123,clc,0.0,318.39191946347773,-531.5684834850066,849.9604029484842,160.0
123,clc,1.0,284.8261344244026,-531.5684834850066,816.3946179094091,155.0
123,clc,2.0,250.75619294032447,-512.9439815344205,763.7001744747449,159.0
124,clc,0.0,355.0721491759256,-663.5760143713699,1018.6481635472952,156.0
124,clc,1.0,338.6497286658352,-663.5760143713699,1002.2257430372052,163.0
124,clc,2.0,314.5033063842958,-655.9378844329674,970.4411908172632,162.0
126,clc,0.0,343.0032497528825,-552.8189552027168,895.8222049555992,141.0
126,clc,1.0,348.0870316209392,-643.5763366785171,991.6633682994564,153.0
126,clc,2.0,351.24041817282006,-643.5763366785171,994.8167548513372,156.0
