filename,folder_name,meta_counter,peak_to_peak_t,systolic_peak_index,dychrotic_notch_index,diastolic_peak_index,A2_area,A1_area,A2_A1_ratio,a1,b1,ta1,tb1,a2,b2,ta2,tb2,b2_a2,systolic_peak_c,dychrotic_notch_c,diastolic_peak_c
107,clc,2.0,43.0,73.0,92.0,116.0,61.22977654103713,66.3059611961724,1.0829038572716845,0.015715173663694848,-0.02669092171727672,181.0,21.0,0.002048532164590236,-0.0010112841371838766,6.0,34.0,-0.4936628063080287,1.0,1.0,1.0
108,clc,0.0,37.0,59.0,74.0,96.0,46.34494565208947,85.7994288781853,1.8513222460606555,0.021242271246547432,-0.027613106961819456,176.0,25.0,0.0019486064143365426,-0.0012977235498998765,5.0,47.0,-0.6659752017401227,1.0,1.0,1.0
108,clc,1.0,34.0,66.0,80.0,100.0,47.96266758162311,84.94561476173158,1.7710777787155123,0.02103793325432252,-0.02440339544105219,175.0,27.0,0.0016750116306452625,-0.0010539699179863415,194.0,51.0,-0.6292314027576765,1.0,1.0,1.0
109,clc,0.0,38.0,58.0,73.0,96.0,47.31110830403401,82.89619731761341,1.7521508222741256,0.018124206304597632,-0.025075639938372363,180.0,27.0,0.0016671452318890035,-0.0012550779075730654,198.0,44.0,-0.7528305774242391,1.0,1.0,1.0
109,clc,1.0,38.0,67.0,88.0,105.0,61.36694088194014,73.13350518249352,1.1917410927031593,0.021587101361397014,-0.031031341035591912,178.0,22.0,0.0022185696704780803,-0.0014955239474787607,6.0,40.0,-0.6740937494004822,1.0,1.0,1.0
11,clc,0.0,108.0,63.0,171.0,171.0,108.25593221065405,2.7948075373995507,0.02581666870653486,0.012492726870358628,-0.02656085827601217,176.0,28.0,0.001628258274292374,-0.0012721138149482947,8.0,47.0,-0.7812727471022025,1.0,1.0,1.0
11,clc,1.0,83.0,70.0,153.0,153.0,103.01527102027605,10.248658251560114,0.09948678627989938,0.011684271407639613,-0.024053270582521824,148.0,30.0,0.0014313494950908938,-0.0009765072685470332,4.0,49.0,-0.6822283948792136,1.0,1.0,1.0
11,clc,2.0,35.0,70.0,90.0,105.0,54.37915962273825,63.0166407820241,1.1588380772930182,0.015532713273525456,-0.023675639555251808,178.0,31.0,0.0015852214996502356,-0.0010582530028468984,195.0,61.0,-0.6675742179123814,1.0,1.0,1.0
110,clc,0.0,32.0,72.0,93.0,104.0,63.97064337643341,60.397402845431344,0.9441424950195446,0.014801660016020709,-0.0287448495992052,181.0,22.0,0.0021176247331857467,-0.001196427724353244,5.0,38.0,-0.5649857151759569,1.0,1.0,1.0
110,clc,1.0,30.0,69.0,93.0,99.0,65.58290905715336,67.06832314440575,1.0226494083383506,0.02110548337490087,-0.02600031040314743,179.0,23.0,0.0019740151794883087,-0.0010638269091958195,5.0,39.0,-0.5389152627851513,1.0,1.0,1.0
110,clc,2.0,41.0,82.0,88.0,123.0,58.35421332429552,96.31566021512094,1.6505348067989527,0.017720159018363442,-0.02983865649947182,177.0,20.0,0.002690957706336615,-0.0015126744407081285,5.0,35.0,-0.5621323728522792,1.0,1.0,1.0
111,clc,0.0,35.0,60.0,73.0,95.0,46.23343970713317,88.52772926984737,1.9147986788486515,0.02487752732379561,-0.026055212444162368,176.0,22.0,0.0019073940790789727,-0.0013445891381558273,7.0,163.0,-0.7049351536233625,1.0,1.0,1.0
